TimeStamp,POS_X,POS_Y,POS_Z
0,10,10,10
0.5,12.89377858,12.14348432,15.12280846
1,16.21984417,14.70727379,18.77160584
1.5,19.6752568,17.33475084,21.88751374
2,23.25796553,19.94820636,24.76494803
2.5,26.93098575,22.48076786,27.6160169
3,30.63442829,24.92297324,30.56896043
3.5,34.3282082,27.34401632,33.63607784
4,38.00498891,29.85735246,36.74007562
4.5,41.68135728,32.57190499,39.76780429
5,45.38338498,35.5593828,42.61573693
5.5,49.13575154,38.8452287,45.21293882
6,52.95626773,42.41691943,47.52408961
6.5,56.85392551,46.23972889,49.5416531
7,60.82821444,50.27213169,51.27554724
7.5,64.8686531,54.47671043,52.74504895
8,68.95471258,58.82555259,53.97421538
8.5,73.05679489,63.3010114,54.99005952
9,77.13868732,67.89347772,55.82207884
9.5,81.16134976,72.59784194,56.5019625
10,85.08741778,77.40996556,57.06283764
10.5,88.88563027,82.32398247,57.53790493
11,92.53450192,87.33076604,57.9586264
11.5,96.02481991,92.41751769,58.35277016
12,99.36080553,97.56819555,58.74264518
12.5,102.5599624,102.7644096,59.14382341
13,105.6517291,107.986434,59.56457463
13.5,108.6751068,113.2140843,60.00614015
14,111.6754813,118.4273286,60.46385435
14.5,114.7009258,123.6066124,60.92900074
15,117.7983371,128.7329514,61.39118287
15.5,121.0097948,133.787884,61.84091791
16,124.3695205,138.753374,62.27213535
16.5,127.9017319,143.6117364,62.68428267
17,131.6195627,148.3456283,63.08379576
17.5,135.5250734,152.9381253,63.48476647
18,139.6102438,157.3728889,63.90871953
18.5,143.8587402,161.6344363,64.38348686
19,148.2481987,165.7085331,64.94123643
19.5,152.752752,169.5827471,65.61577987
20,157.3455463,173.2472013,66.43935037
20.5,162.001032,176.6955481,67.43911115
21,166.6968542,179.9261402,68.63371788
21.5,171.4152217,182.9433088,70.03030199
22,176.1436811,185.7585805,71.62224962
22.5,180.8752823,188.3916092,73.38810767
23,185.6081786,190.8705694,75.29184722
23.5,190.3447596,193.2317911,77.28456088
24,195.0904638,195.5185028,79.3074851
24.5,199.8524425,197.7786882,81.29605044
25,204.6382544,200.0622184,83.18451001
25.5,209.4547469,202.4175743,84.91060981
26,214.3072397,204.8885695,86.41976486
26.5,219.1990655,207.5115203,87.6682945
27,224.1314677,210.3132483,88.62543027
27.5,229.1037949,213.3101767,89.27400804
28,234.1139036,216.5085992,89.60995059
28.5,239.1586593,219.9060071,89.64079982
29,244.2344346,223.4931929,89.38364163
29.5,249.3375275,227.2567384,88.86277509
30,254.4644526,231.181464,88.1074197
30.5,259.6120955,235.2524655,87.14965814
31,264.7777471,239.4564816,86.02270685
31.5,269.9590537,243.782489,84.75952264
32,275.153925,248.2215817,83.39170598
32.5,280.3604359,252.7663246,81.94865313
33,285.5767488,257.4098486,80.45692807
33.5,290.8010647,262.1449676,78.93985235
34,296.0316003,266.9635534,77.41732758
34.5,301.2665793,271.8563054,75.90590089
35,306.5042216,276.8129429,74.41905687
35.5,311.7427183,281.8227348,72.96768127
36,316.9801836,286.8752047,71.56060835
36.5,322.2145838,291.9608157,70.20515052
37,327.4436482,297.0714491,68.90752603
37.5,332.6647683,302.2005464,67.67314539
38,337.8748898,307.3428558,66.50677935
38.5,343.0703933,312.493807,65.41268904
39,348.2469518,317.6486029,64.39482886
39.5,353.3993423,322.8011704,63.45721482
40,358.5211955,327.9431341,62.60447209
40.5,363.6046865,333.0630028,61.84243895
41,368.6402266,338.14577,61.17853245
41.5,373.6162982,343.1731566,60.62142101
42,378.5196728,348.1247352,60.17947374
42.5,383.3363277,352.9801415,59.85756031
43,388.0533506,357.7224329,59.65215155
43.5,392.6619208,362.3423333,59.54536977
44,397.1610331,366.8425962,59.49958794
44.5,401.5610273,371.2411181,59.45510435
45,405.8854235,375.5710342,59.33379412
45.5,410.1694304,379.8762659,59.05076096
46,414.454227,384.2023089,58.53335433
46.5,418.7779096,388.5844945,57.74275708
47,423.1663088,393.0386133,56.68947461
47.5,427.6281801,397.5595653,55.43384008
48,432.1573548,402.1299212,54.06944814
48.5,436.73776,406.730851,52.70086568
49,441.336448,411.3356933,51.43944033
49.5,445.8565053,415.8564944,50.44117345
50,450,420,50
