TimeStamp,POS_X,POS_Y,POS_Z
0,10,10,10
0.5,7.86155373,15,8.908286456
1,11.32611061,20,4.311980961
1.5,13.82285225,25,1.688911121
2,16.86737255,30,1.072479701
2.5,21.15860842,35,1.004459517
3,26.01778934,40,1.000181993
3.5,31.00130649,45,1.000005381
4,36.00006728,50,1.000000122
4.5,41.00000257,55,1.000000002
5,46.00000008,60,1
5.5,51,65,1
6,56,70,1
6.5,60.99999995,75,1
7,65.99999793,80,1
7.5,70.9999494,85,1
8,75.99925761,90,1
8.5,80.99303931,95,1
9,85.95591882,100,1
9.5,90.80217285,105,1
10,95.34375357,110,1
10.5,99.32898392,115,1
11,102.617554,120,1
11.5,105.3645344,125,1
12,107.9739875,130,1
12.5,110.7977168,135,1
13,113.8820764,140,1
13.5,117.0407278,145,1
14,120.148853,150,1
14.5,123.3120175,155,1
15,126.7567339,160,1
15.5,130.6241757,165,1
16,134.8956646,169.9999998,1
16.5,139.4638411,174.999998,1
17,144.2217077,179.999982,1
17.5,149.0945659,184.9998707,1
18,154.0326661,189.9992632,1
18.5,158.9984211,194.9966367,1
19,163.9552898,199.9875851,1
19.5,168.8540875,204.96257,1
20,173.62282,209.9068455,1
20.5,178.1779433,214.8063373,1
21,182.467956,219.6589884,1
21.5,186.5280056,224.4828296,1
22,190.4949243,229.3106209,1
22.5,194.5519389,234.1726614,1
23,198.8370937,239.0819363,1
23.5,203.3871961,244.0329018,1
24,208.1522595,249.0111049,1
24.5,213.050552,254.0031339,1
25,218.0140902,259.0007362,1
25.5,223.0032808,264.0001434,1
26,228.0006353,269.0000231,1
26.5,233.0001019,274.0000031,1
27,238.0000135,279.0000003,1
27.5,243.0000015,283.9999999,1
28,248.0000001,288.9999981,1
28.5,253,293.9999822,1
29,258,298.9998616,1
29.5,263,303.9990971,1
30,267.9999998,308.9950598,1
30.5,272.9999981,313.9772989,1
31,277.9999832,318.9122409,1
31.5,282.9998777,323.7139619,1
32,287.9992589,328.2116807,1
32.5,292.9962653,332.1555308,1
33,297.9843637,335.3152892,1
33.5,302.9456216,337.6638447,1
34,307.8428345,339.5130086,1
34.5,312.6217386,341.4346602,1
35,317.238505,343.9718648,1
35.5,321.7069472,347.3665051,1
36,326.1216594,351.5193505,1
36.5,330.6147167,356.1604003,1
37,335.2728916,361.0395421,1
37.5,340.0955709,366.0075763,1
38,345.0257546,371.0006582,1
38.5,350.0052103,375.9970112,1
39,355.0007714,380.9832211,1
39.5,360.0000813,385.9265287,1
40,365.0000059,390.7399856,1.000000005
40.5,370.0000003,395.2555244,1.000000092
41,375,399.2601453,1.000001434
41.5,380,402.6038333,1.000018239
42,385,405.2361426,1.000187442
42.5,390,407.0896673,1.001549465
43,395,408.1053114,1.010288372
43.5,400,408.5963954,1.054999867
44,405,409.4128225,1.237477219
44.5,410,411.3526425,1.82721747
45,414.9999995,414.3053456,3.307532018
45.5,419.9999852,417.228006,6.131151845
46,424.9996865,419.1138194,10.23230269
46.5,429.9951071,419.8487716,15.02325379
47,434.9464241,420.0332067,20.00085855
47.5,439.6137934,420.2401008,25.00000781
48,443.3023339,420.5600813,30.00000001
48.5,445.7772851,420.2508933,35
49,448.6288012,420.6033631,40
49.5,449.7481552,422.0102194,45
50,450,420,50
